"fit","income_group","target_pop","hs_constraints","vaccine_doses","vaccine","age_groups_covered","age_groups_covered_d4","vacc_start","dt","repetition","seeding_cases","vacc_per_week","t_d3","t_d4","vfr","vfr2","max_Rt_var2_scal","vfr_time1","vfr_time2","vfr2_time1","vfr2_time2","mu_ab_infection","mu_ab_inf_scal_vfr","max_ab","hosp_scal_vfr","ICU_scal_vfr","hosp_scal_vfr2","ICU_scal_vfr2","omicron_vaccine","vaccine_vfr","dose_4_fold_increase","vfr_drift_factor","rt_drift_factor","age_groups_covered_d3","age_groups_covered_d5","age_groups_covered_d6","age_groups_covered_d7","age_groups_covered_d8","age_groups_covered_d9","t_d5","t_d6","t_d7","t_d8","t_d9","scenario","name","strategy","mu_ab_d1","mu_ab_d2","k","dose_3_fold_increase","hl_s","hl_l","period_s","period_l","ab_50","ab_50_severe","std10"
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,36,10,0.05,227,365,6.5,10,1.1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,1,1,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,544,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,37,10,0.05,227,365,6.5,6.5,1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,0.3,0.3,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,545,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,37,10,0.05,227,365,6.5,6.5,1.1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,1,1,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,546,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,37,10,0.05,227,365,6.5,10,1.1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,0.3,0.3,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,547,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,37,10,0.05,227,365,6.5,10,1.1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,1,1,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,548,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,38,10,0.05,227,365,6.5,6.5,1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,0.3,0.3,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,549,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,38,10,0.05,227,365,6.5,6.5,1.1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,1,1,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,550,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,38,10,0.05,227,365,6.5,10,1.1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,0.3,0.3,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,551,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,38,10,0.05,227,365,6.5,10,1.1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,1,1,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,552,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,39,10,0.05,227,365,6.5,6.5,1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,0.3,0.3,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,553,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,39,10,0.05,227,365,6.5,6.5,1.1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,1,1,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,554,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,39,10,0.05,227,365,6.5,10,1.1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,0.3,0.3,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,555,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,39,10,0.05,227,365,6.5,10,1.1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,1,1,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,556,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,40,10,0.05,227,365,6.5,6.5,1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,0.3,0.3,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,557,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,40,10,0.05,227,365,6.5,6.5,1.1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,1,1,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,558,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,40,10,0.05,227,365,6.5,10,1.1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,0.3,0.3,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,559,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,40,10,0.05,227,365,6.5,10,1.1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,1,1,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,560,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,41,10,0.05,227,365,6.5,6.5,1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,0.3,0.3,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,561,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,41,10,0.05,227,365,6.5,6.5,1.1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,1,1,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,562,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,41,10,0.05,227,365,6.5,10,1.1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,0.3,0.3,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,563,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,41,10,0.05,227,365,6.5,10,1.1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,1,1,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,564,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,42,10,0.05,227,365,6.5,6.5,1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,0.3,0.3,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,565,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,42,10,0.05,227,365,6.5,6.5,1.1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,1,1,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,566,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,42,10,0.05,227,365,6.5,10,1.1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,0.3,0.3,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,567,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,42,10,0.05,227,365,6.5,10,1.1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,1,1,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,568,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,43,10,0.05,227,365,6.5,6.5,1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,0.3,0.3,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,569,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,43,10,0.05,227,365,6.5,6.5,1.1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,1,1,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,570,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,43,10,0.05,227,365,6.5,10,1.1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,0.3,0.3,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,571,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,43,10,0.05,227,365,6.5,10,1.1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,1,1,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,572,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,44,10,0.05,227,365,6.5,6.5,1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,0.3,0.3,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,573,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,44,10,0.05,227,365,6.5,6.5,1.1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,1,1,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,574,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,44,10,0.05,227,365,6.5,10,1.1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,0.3,0.3,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,575,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,44,10,0.05,227,365,6.5,10,1.1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,1,1,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,576,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,45,10,0.05,227,365,6.5,6.5,1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,0.3,0.3,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,577,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,45,10,0.05,227,365,6.5,6.5,1.1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,1,1,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,578,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,45,10,0.05,227,365,6.5,10,1.1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,0.3,0.3,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,579,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,45,10,0.05,227,365,6.5,10,1.1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,1,1,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,580,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,46,10,0.05,227,365,6.5,6.5,1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,0.3,0.3,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,581,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,46,10,0.05,227,365,6.5,6.5,1.1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,1,1,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,582,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,46,10,0.05,227,365,6.5,10,1.1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,0.3,0.3,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,583,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,46,10,0.05,227,365,6.5,10,1.1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,1,1,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,584,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,47,10,0.05,227,365,6.5,6.5,1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,0.3,0.3,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,585,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
"UKHSA_v6_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE","HIC",1e+06,"Absent",6,"Moderna",15,15,"1/1/2021",0.25,47,10,0.05,227,365,6.5,6.5,1.1,"11/27/2021","12/31/2021","10/1/2022","10/31/2022",1,0.5,5,0.3,0.3,1,1,1,4.03,1,1,1,15,15,15,15,15,15,365,366,365,365,1,586,"rq1_hic_newvariant","realistic",0.130705180521646,0.726516330346,2.77778164904833,1.24785178142934,32.6165668069063,580.117673420337,85.9715049312345,366.081914499984,0.0517716362991111,0.00968442433667813,0.44
